StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,QB,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,opp,gc,term,Q_TotalDuration
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,How much money did Simon allegedly steal?,Please enter your current age in years.,Please indicate your gender.,How would you describe yourself?,"Are you of Hispanic, Latino, or Spanish origin?",Please indicate your highest completed level of education.,Please indicate how much of a problem the following matters are in your neighborhood: - Garbage/litter on or along the streets,"Please indicate how much of a problem the following matters are in your neighborhood: - Excessive noise (e.g., loud parties, stereos, barking dogs, etc.)","Please indicate how much of a problem the following matters are in your neighborhood: - Vandalism (e.g., graffiti, destruction of property, etc.)","Please indicate how much of a problem the following matters are in your neighborhood: - Traffic problems (e.g., speeding or reckless driving)",Please indicate how much of a problem the following matters are in your neighborhood: - People drinking in public,Please indicate how much of a problem the following matters are in your neighborhood: - People using/selling illegal drugs,"Please indicate how much of a problem the following matters are in your neighborhood: - Groups of teenagers or others loitering or simply ""hanging out""",Please indicate how much of a problem the following matters are in your neighborhood: - Presence of youth gangs,Please indicate how much of a problem the following matters are in your neighborhood: - Prostitution,Please indicate how much of a problem the following matters are in your neighborhood: - People fighting in public,Please indicate how much of a problem the following matters are in your neighborhood: - People arguing in a hostile manner in public,Please indicate how much of a problem the following matters are in your neighborhood: - People's homes being broken into,"Please indicate how much of a problem the following matters are in your neighborhood: - People being robbed (i.e., ""mugged"" or ""held up"")",Please indicate how much of a problem the following matters are in your neighborhood: - Gunshots,Please indicate how much you agree or disagree with the following statements. - I generally feel safe walking alone at night in my neighborhood.,Please indicate how much you agree or disagree with the following statements. - I generally feel safe and secure in my home.,"Please indicate how much you agree or disagree with the following statements. - In the past month, fear of crime has prevented me from doing things I would like to do.","Please answer yes or no to the following questions. - During the past 6 months, have you had any contact with a police officer?","Please answer yes or no to the following questions. - IF YOU ANSWERED YES TO THE PREVIOUS QUESTION, was the contact ever initiated by the officer (e.g., a traffic stop or any other case where the officer made contact with you)?","Please answer yes or no to the following questions. - In general, were you satisfied with the most recent interaction you had with police?",Please indicate how many times the following has happened to you in the past 6 months. - Your vehicle was stolen,Please indicate how many times the following has happened to you in the past 6 months. - Your vehicle was broken into,Please indicate how many times the following has happened to you in the past 6 months. - Your property was vandalized or destroyed,Please indicate how many times the following has happened to you in the past 6 months. - Someone broke into your home or another building on your property,"Please indicate how many times the following has happened to you in the past 6 months. - Someone (other than a romantic partner) physically harmed you with their hands, fist, or feet","Please indicate how many times the following has happened to you in the past 6 months. - Someone (other than a romantic partner) used or threatened to use a knife, club, or other weapon on you",Please indicate how many times the following has happened to you in the past 6 months. - Someone used or threatened to use force to take something from you,Please indicate how much you agree or disagree with the following statements. - The police in my neighborhood treat citizens with respect.,Please indicate how much you agree or disagree with the following statements. - The police in my neighborhood take the time to listen to people.,Please indicate how much you agree or disagree with the following statements. - The police in my neighborhood treat people fairly.,Please indicate how much you agree or disagree with the following statements. - The police in my neighborhood explain their decisions to the people they deal with.,Please indicate how much you agree or disagree with the following statements. - The police in my neighborhood give minorities less help because of their race.,Please indicate how much you agree or disagree with the following statements. - The police in my neighborhood provide better services to wealthy citizens.,Please indicate how much you agree or disagree with the following statements. - You should accept police decisions even if you think they are wrong.,Please indicate how much you agree or disagree with the following statements. - You should do what the police tell you even if you disagree.,Please indicate how much you agree or disagree with the following statements. - The police can be trusted to make decisions that are right for my community.,Please indicate how much you agree or disagree with the following statements. - The police are doing a good job in my neighborhood.,Please indicate how much you agree or disagree with the following statements. - There are enough police in my neighborhood.,How likely is it that your neighbors could be counted on to do something if... - Teenagers were skipping school and hanging out on a street corner?,How likely is it that your neighbors could be counted on to do something if... - Teenagers were spray-painting graffiti on a local building?,How likely is it that your neighbors could be counted on to do something if... - Teenagers were showing disrespect to an adult?,How likely is it that your neighbors could be counted on to do something if... - A fight broke out near your home?,How likely is it that your neighbors could be counted on to do something if... - The fire station close to your home was threatened with budget cuts?,Please indicate how much you agree or disagree with the following statements. - People around here are willing to help their neighbors.,Please indicate how much you agree or disagree with the following statements. - This is a close-knit neighborhood.,Please indicate how much you agree or disagree with the following statements. - People in this neighborhood can be trusted.,Please indicate how much you agree or disagree with the following statements. - People in this neighborhood generally DO NOT get along with each other.,Please indicate how much you agree or disagree with the following statements. - People in this neighborhood DO NOT share the same values.,opp,gc,term,Q_TotalDuration
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID36""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID2_11""}","{""ImportId"":""QID2_12""}","{""ImportId"":""QID2_13""}","{""ImportId"":""QID2_14""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_11""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""opp""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""Q_TotalDuration""}"
4/25/2022 13:52,4/25/2022 13:53,100,18,TRUE,4/25/2022 13:53,"About $25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,18
4/25/2022 13:53,4/25/2022 13:53,100,19,TRUE,4/25/2022 13:53,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,19
4/25/2022 13:53,4/25/2022 13:53,100,12,TRUE,4/25/2022 13:53,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,12
4/25/2022 13:53,4/25/2022 13:54,100,18,TRUE,4/25/2022 13:54,About $1 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,18
4/25/2022 13:54,4/25/2022 13:54,100,13,TRUE,4/25/2022 13:54,About $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,13
4/25/2022 13:54,4/25/2022 13:54,100,12,TRUE,4/25/2022 13:54,About $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,12
4/25/2022 13:54,4/25/2022 13:55,100,17,TRUE,4/25/2022 13:55,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,17
4/25/2022 13:54,4/25/2022 13:55,100,53,TRUE,4/25/2022 13:55,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,53
