Incident_ID,Civilian_Officer,ORI,Gender,Race_Ethnic_Group,Asian_Race,Age,Injured,Injury_Level,Injury_Type,Medical_Aid,Injury_From_Preexisting_Condition,Received_Force_Location,Order_Of_Force_Specified,Order_Of_Force_Str,Received_Force,Received_Force_Type,DISCHARGE_OF_FIREARM_INDIVIDUAL,DISCHARGE_OF_FIREARM_INCIDENT,CIVILIAN_Mental_Status,CIVILIAN_Assaulted_Officer,CIVILIAN_Highest_Charge,CIVILIAN_Crime_Qualifier,CIVILIAN_Perceived_Armed,CIVILIAN_Perceived_Armed_Weapon,CIVILIAN_Firearm_Type,CIVILIAN_Resisted,CIVILIAN_Resistance_Type,CIVILIAN_Custody_Status,CIVILIAN_Confirmed_Armed,CIVILIAN_Confirmed_Armed_Weapon,CIVILIAN_K12_Type,OFFICER_Officer_Used_Force,OFFICER_Officer_Used_Force_Reason,OFFICER_On_Duty,OFFICER_Dress
URSUS-01-0000-2017-232,Civilian,CA0010000,male,black,,26_30,TRUE,serious_injury,unconscious,treated_at_facility_released,FALSE,neck_throat,FALSE,"carotid_hold, other_control_hold",TRUE,carotid_hold,FALSE,FALSE,none,FALSE,187(A) - MURDER:FIRST DEGREE - F    ,,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2017-232,Civilian,CA0010000,male,black,,26_30,FALSE,,,,FALSE,rear_lower_back,FALSE,,TRUE,other_control_hold,FALSE,FALSE,none,FALSE,187(A) - MURDER:FIRST DEGREE - F    ,,FALSE,,,FALSE,,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2017-232,Officer,CA0010000,male,white,,41_45,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"overcome_resistrance, defense",TRUE,patrol_uniform
URSUS-01-0000-2017-232,Officer,CA0010000,male,black,,51_55,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"overcome_resistrance, defense",TRUE,patrol_uniform
URSUS-01-0000-2017-27d,Civilian,CA0010000,male,black,,18_20,TRUE,serious_injury,abrasion_laceration,treated_at_facility_released,FALSE,head,FALSE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,none,FALSE,647(F) - DISORD CONDUCT:ALCOHOL - M    ,,FALSE,,,TRUE,active_resistance,cited_and_released,FALSE,,,,,,
URSUS-01-0000-2017-27d,Officer,CA0010000,male,black,,26_30,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,overcome_resistrance,TRUE,patrol_uniform
URSUS-01-0000-2017-27d,Officer,CA0010000,male,white,,21_25,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,overcome_resistrance,TRUE,patrol_uniform
URSUS-01-0000-2017-27d,Officer,CA0010000,male,hispanic,,36_40,TRUE,injury,bruised,no_medical_aid,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,overcome_resistrance,TRUE,patrol_uniform
URSUS-01-0000-2017-34a,Civilian,CA0010000,male,black,,21_25,FALSE,,,,FALSE,arms_hands,FALSE,other_control_hold,TRUE,other_control_hold,FALSE,FALSE,mental_disability,TRUE,69 - OBSTRUCT/RESIST EXEC OFCR - M    ,,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2017-34a,Officer,CA0010000,male,white,,31_35,TRUE,serious_injury,bone_fracture,treated_at_facility_released,FALSE,"front_upper_chest, front_lower_abdomen",,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,,TRUE,overcome_resistrance,TRUE,patrol_uniform
URSUS-01-0000-2017-34a,Officer,CA0010000,male,white,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,overcome_resistrance,TRUE,patrol_uniform
URSUS-01-0000-2017-381,Civilian,CA0010000,male,black,,51_55,TRUE,serious_injury,cut,treated_at_facility_released,FALSE,"head, rear_upper_back",TRUE,"electronic_device, other_control_hold",TRUE,"other_control_hold, electronic_device",FALSE,FALSE,"drug_impairment, alcohol_impairment",FALSE,2800.1(A) - EVADING PEACE OFFICER - M    ,,TRUE,unknown,,TRUE,fleeing,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2017-381,Officer,CA0010000,male,asian,japanese,51_55,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape",TRUE,patrol_uniform
URSUS-01-0000-2017-43a,Civilian,CA0010000,male,hispanic,,21_25,TRUE,injury,abrasion_laceration,treated_on_scene,FALSE,"head, arms_hands",FALSE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,"drug_impairment, alcohol_impairment",TRUE,148(A)(1) - OBSTRUCT/ETC PUB OFCR/ETC - M    ,,FALSE,,,TRUE,active_resistance,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2017-43a,Civilian,CA0010000,male,hispanic,,36_40,FALSE,,,,FALSE,arms_hands,FALSE,,TRUE,other_control_hold,FALSE,FALSE,"drug_impairment, alcohol_impairment",FALSE,148(A)(1) - OBSTRUCT/ETC PUB OFCR/ETC - M    ,,FALSE,,,TRUE,active_resistance,cited_and_released,FALSE,,,,,,
URSUS-01-0000-2017-43a,Officer,CA0010000,male,hispanic,,26_30,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistrance",TRUE,patrol_uniform
URSUS-01-0000-2017-43a,Officer,CA0010000,male,white,,31_35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistrance",TRUE,patrol_uniform
URSUS-01-0000-2017-43a,Officer,CA0010000,male,black,,46_50,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistrance",TRUE,patrol_uniform
URSUS-01-0000-2017-43a,Officer,CA0010000,male,"black, hispanic",,36_40,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistrance",TRUE,patrol_uniform
