INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,PRIMARY_AGENCY_INDICATOR
URSUS-01-0000-2017-232,CA0010000,6/16/2017,11:45,OAKLAND,ALAMEDA,CA,94612,FALSE,FALSE,FALSE,FALSE,in_custody_event,out_of_court,2,2,*
URSUS-01-0000-2017-27d,CA0010000,2/28/2017,19:40,OAKLAND,ALAMEDA,CA,94607,FALSE,FALSE,FALSE,TRUE,in_custody_event,awaiting_booking,1,3,*
URSUS-01-0000-2017-34a,CA0010000,10/25/2017,21:56,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_awaiting_trial,1,2,*
URSUS-01-0000-2017-381,CA0010000,12/30/2017,22:08,OAKLAND,ALAMEDA,CA,94610,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,*
URSUS-01-0000-2017-43a,CA0010000,10/19/2017,20:16,OAKLAND,ALAMEDA,CA,94621,FALSE,FALSE,TRUE,TRUE,consensual,,2,5,*
URSUS-01-0000-2017-5d7,CA0010000,12/18/2017,4:14,SAN LORENZO,ALAMEDA,CA,94580,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,*
URSUS-01-0000-2017-5de,CA0010000,12/4/2017,1:00,CASTRO VALLEY,ALAMEDA,CA,94546,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,3,*
URSUS-01-0000-2017-610,CA0010000,9/7/2017,7:37,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,*
URSUS-01-0000-2017-74a,CA0010000,6/30/2017,7:50,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,FALSE,in_custody_event,booked_awaiting_trial,1,5,*
URSUS-01-0000-2017-831,CA0010000,7/18/2017,10:55,SAN LEANDRO,ALAMEDA,CA,94578,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,*
URSUS-01-0000-2017-8c7,CA0010000,5/30/2017,12:35,OAKLAND,ALAMEDA,CA,94612,FALSE,FALSE,TRUE,TRUE,in_progress,,1,5,*
URSUS-01-0000-2017-912,CA0010000,12/26/2017,23:20,HAYWARD,ALAMEDA,CA,94541,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,*
URSUS-01-0000-2017-948,CA0010000,5/3/2017,2:15,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,TRUE,in_custody_event,awaiting_booking,1,4,*
URSUS-01-0000-2017-9b8,CA0010000,8/9/2017,16:40,SAN LEANDRO,ALAMEDA,CA,94579,FALSE,FALSE,TRUE,TRUE,in_progress,,1,5,*
URSUS-01-0000-2017-ac0,CA0010000,6/27/2017,11:49,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_awaiting_trial,1,5,*
URSUS-01-0000-2017-aec,CA0010000,6/14/2017,8:48,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,TRUE,TRUE,in_custody_event,awaiting_booking,1,1,*
URSUS-01-0000-2017-c79,CA0010000,7/4/2017,19:09,SAN LEANDRO,ALAMEDA,CA,94578,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-01-0500-2017-0d5,CA0010500,3/14/2017,17:03,HAYWARD,ALAMEDA,CA,94542,FALSE,FALSE,FALSE,TRUE,pre_planned,,2,3,*
URSUS-01-0500-2017-38e,CA0010500,4/9/2017,23:43,FREMONT,ALAMEDA,CA,94555,FALSE,FALSE,FALSE,TRUE,in_progress,,1,3,*
URSUS-01-0500-2017-3cf,CA0010500,2/5/2017,16:13,FREMONT,ALAMEDA,CA,94538,FALSE,FALSE,FALSE,TRUE,in_progress,,1,1,*
URSUS-01-0500-2017-890,CA0010500,2/16/2017,22:13,FREMONT,ALAMEDA,CA,94555,TRUE,FALSE,TRUE,TRUE,pre_planned,,1,5,*
URSUS-01-0500-2017-da2,CA0010500,5/29/2017,15:56,FREMONT,ALAMEDA,CA,94538,FALSE,FALSE,FALSE,TRUE,in_progress,,1,1,*
URSUS-01-0600-2017-134,CA0010600,8/5/2017,17:10,HAYWARD,ALAMEDA,CA,94541,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-01-0600-2017-685,CA0010600,4/21/2017,10:56,HAYWARD,ALAMEDA,CA,94541,FALSE,FALSE,FALSE,TRUE,in_progress,,1,1,*
URSUS-01-0600-2017-c6f,CA0010600,3/4/2017,23:28,HAYWARD,ALAMEDA,CA,94544,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,*
URSUS-01-0700-2017-1a8,CA0010700,8/16/2017,22:55,LIVERMORE,ALAMEDA,CA,94551,FALSE,FALSE,FALSE,FALSE,in_progress,,1,5,*
URSUS-01-0700-2017-2c0,CA0010700,10/21/2017,23:51,LIVERMORE,ALAMEDA,CA,94551,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,*
URSUS-01-0900-2017-0ac,CA0010900,2/17/2017,9:05,OAKLAND,ALAMEDA,CA,94605,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,3,*
URSUS-01-0900-2017-b3a,CA0010900,9/28/2017,14:21,OAKLAND,ALAMEDA,CA,94601,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,*
URSUS-01-1100-2017-fe2,CA0011100,5/20/2017,11:30,PLEASANTON,ALAMEDA,CA,94566,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,*
URSUS-01-1200-2017-f8b,CA0011200,6/4/2017,2:52,SAN LEANDRO,ALAMEDA,CA,94577,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,*
URSUS-01-1400-2017-42c,CA0011400,2/5/2017,23:39,ALAMEDA,ALAMEDA,CA,94501,FALSE,FALSE,TRUE,TRUE,in_progress,,2,1,*
URSUS-01-1400-2017-70d,CA0011400,6/2/2017,23:30,CASTRO VALLEY,ALAMEDA,CA,94546,FALSE,FALSE,TRUE,TRUE,welfare_check,,2,5,*
URSUS-01-2100-2017-0ac,CA0012100,1/8/2017,18:37,BERKELEY,ALAMEDA,CA,94704,FALSE,FALSE,TRUE,TRUE,call_for_service,,2,2,*
URSUS-01-2100-2017-970,CA0012100,11/16/2017,0:31,RICHMOND,CONTRA COSTA,CA,94801,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,*
URSUS-04-0000-2017-b7a,CA0040000,8/22/2017,19:30,DURHAM,BUTTE,CA,95938,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,*
URSUS-04-0200-2017-215,CA0040200,3/17/2017,19:13,CHICO,BUTTE,CA,95926,FALSE,FALSE,FALSE,TRUE,in_progress,,1,2,*
URSUS-04-0200-2017-833,CA0040200,7/23/2017,22:50,CHICO,BUTTE,CA,95928,FALSE,FALSE,FALSE,TRUE,in_progress,,1,2,*
URSUS-05-0000-2017-ece,CA0050000,4/28/2017,0:30,VALLEY SPRINGS,CALAVERAS,CA,95252,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,4,*
URSUS-07-0000-2017-6c1,CA0070000,5/6/2017,22:56,MARTINEZ,CONTRA COSTA,CA,94553,FALSE,FALSE,TRUE,TRUE,in_custody_event,awaiting_booking,1,1,*
URSUS-07-0000-2017-8b9,CA0070000,5/23/2017,15:09,EL SOBRANTE,CONTRA COSTA,CA,94803,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,1,*
URSUS-07-0057-2017-261,CA0070057,7/1/2017,21:45,OAKLEY,CONTRA COSTA,CA,94561,FALSE,TRUE,TRUE,TRUE,civil_assembly,,1,1,*
URSUS-07-0100-2017-042,CA0070100,6/16/2017,11:30,ANTIOCH,CONTRA COSTA,CA,94509,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,*
URSUS-07-0100-2017-097,CA0070100,8/30/2017,12:52,ANTIOCH,CONTRA COSTA,CA,94509,FALSE,FALSE,TRUE,TRUE,call_for_service,,2,1,*
URSUS-07-0100-2017-687,CA0070100,7/3/2017,8:26,ANTIOCH,CONTRA COSTA,CA,94509,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,*
URSUS-07-0100-2017-756,CA0070100,3/16/2017,10:13,ANTIOCH,CONTRA COSTA,CA,94531,TRUE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-07-0200-2017-3c1,CA0070200,6/9/2017,21:47,BRENTWOOD,CONTRA COSTA,CA,94513,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
