INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,NUM_INVOLVED_AGENCIES
URSUS-01-0000-2018-33f,CA0010000,2/6/2018,18:20,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,FALSE,in_custody_event,booked_no_charge,1,5,1
URSUS-01-0000-2018-3f6,CA0010000,5/11/2018,21:56,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,FALSE,call_for_service,,1,2,1
URSUS-01-0000-2018-5b2,CA0010000,1/25/2018,5:17,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_awaiting_trial,1,5,1
URSUS-01-0000-2018-655,CA0010000,6/23/2018,17:00,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,FALSE,in_custody_event,sentenced,1,10,1
URSUS-01-0000-2018-704,CA0010000,3/17/2018,16:35,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_awaiting_trial,1,3,1
URSUS-01-0000-2018-8b5,CA0010000,4/25/2018,14:30,SAN LEANDRO,ALAMEDA,CA,94578,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_awaiting_trial,1,2,1
URSUS-01-0000-2018-b1c,CA0010000,10/30/2018,0:16,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-01-0000-2018-c89,CA0010000,6/26/2018,18:54,OAKLAND,ALAMEDA,CA,94601,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-01-0000-2018-ce5,CA0010000,4/19/2018,17:00,OAKLAND,ALAMEDA,CA,94603,FALSE,FALSE,TRUE,TRUE,in_progress,,1,3,1
URSUS-01-0000-2018-e53,CA0010000,7/16/2018,20:20,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,FALSE,FALSE,in_custody_event,booked_awaiting_trial,1,1,1
URSUS-01-0100-2018-602,CA0010100,12/5/2018,2:15,ALAMEDA,ALAMEDA,CA,94501,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,6,1
URSUS-01-0400-2018-8f5,CA0010400,12/1/2018,21:22,EMERYVILLE,ALAMEDA,CA,94608,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,2,1
URSUS-01-0400-2018-9f0,CA0010400,9/5/2018,20:48,EMERYVILLE,ALAMEDA,CA,94608,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-01-0400-2018-d8f,CA0010400,5/18/2018,2:31,OAKLAND,ALAMEDA,CA,94608,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,2,1
URSUS-01-0500-2018-894,CA0010500,4/5/2018,18:51,FREMONT,ALAMEDA,CA,94536,FALSE,FALSE,FALSE,TRUE,vehicle_bike_pedestrian,,1,7,1
URSUS-01-0500-2018-a33,CA0010500,3/15/2018,21:00,SAN LEANDRO,ALAMEDA,CA,94578,FALSE,FALSE,TRUE,TRUE,in_progress,,2,1,1
URSUS-01-0500-2018-e6b,CA0010500,10/6/2018,10:20,FREMONT,ALAMEDA,CA,94539,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-01-0600-2018-0b6,CA0010600,1/8/2018,15:12,HAYWARD,ALAMEDA,CA,94544,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,1
URSUS-01-0600-2018-494,CA0010600,11/15/2018,21:13,HAYWARD,ALAMEDA,CA,94544,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,1
URSUS-01-0600-2018-5c8,CA0010600,5/21/2018,18:40,HAYWARD,ALAMEDA,CA,94544,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-01-0900-2018-7c0,CA0010900,3/11/2018,19:17,OAKLAND,ALAMEDA,CA,94608,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,5,1
URSUS-01-1100-2018-654,CA0011100,8/1/2018,14:42,PLEASANTON,ALAMEDA,CA,94566,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,8,1
URSUS-01-1300-2018-9a6,CA0011300,6/19/2018,23:30,UNION CITY,ALAMEDA,CA,94587,TRUE,FALSE,TRUE,TRUE,in_progress,,3,8,3
URSUS-01-1400-2018-5df,CA0011400,3/12/2018,23:00,SAN RAMON,CONTRA COSTA,CA,94582,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-04-0000-2018-924,CA0040000,4/26/2018,18:37,OROVILLE,BUTTE,CA,95966,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,1
URSUS-04-0000-2018-b72,CA0040000,11/15/2018,11:08,YANKEE HILL,BUTTE,CA,95965,FALSE,FALSE,FALSE,TRUE,vehicle_bike_pedestrian,,1,5,3
URSUS-04-0400-2018-64e,CA0040400,11/16/2018,15:46,OROVILLE,BUTTE,CA,95965,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,1
URSUS-04-0400-2018-67e,CA0040400,2/14/2018,3:07,OROVILLE,BUTTE,CA,95965,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-05-0000-2018-b96,CA0050000,7/5/2018,21:50,MOUNTAIN RANCH,CALAVERAS,CA,95246,FALSE,FALSE,TRUE,TRUE,in_progress,,1,6,2
URSUS-07-0000-2018-0b2,CA0070000,7/26/2018,21:12,MARTINEZ,CONTRA COSTA,CA,94553,FALSE,FALSE,TRUE,TRUE,in_custody_event,awaiting_booking,1,1,1
URSUS-07-0000-2018-0b8,CA0070000,5/26/2018,7:36,MARTINEZ,CONTRA COSTA,CA,94553,FALSE,FALSE,TRUE,TRUE,in_custody_event,other,1,1,1
URSUS-07-0000-2018-44e,CA0070000,11/3/2018,12:05,DANVILLE,CONTRA COSTA,CA,94526,FALSE,FALSE,FALSE,TRUE,in_progress,,1,1,1
URSUS-07-0000-2018-802,CA0070000,12/5/2018,9:33,MARTINEZ,CONTRA COSTA,CA,94553,FALSE,FALSE,FALSE,TRUE,pre_planned,,1,1,1
URSUS-07-0000-2018-a63,CA0070000,11/9/2018,2:30,SAN PABLO,CONTRA COSTA,CA,94806,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-07-0000-2018-e85,CA0070000,10/23/2018,11:26,MARTINEZ,CONTRA COSTA,CA,94553,FALSE,FALSE,TRUE,TRUE,civil_disorder,,1,1,1
URSUS-07-0000-2018-f62,CA0070000,10/19/2018,11:55,SAN PABLO,CONTRA COSTA,CA,94806,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-07-0100-2018-30a,CA0070100,11/30/2018,15:03,ANTIOCH,CONTRA COSTA,CA,94509,FALSE,FALSE,TRUE,TRUE,consensual,,1,1,1
URSUS-07-0100-2018-8c4,CA0070100,2/8/2018,17:00,ANTIOCH,CONTRA COSTA,CA,94531,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-07-0600-2018-16c,CA0070600,9/29/2018,1:51,SAN PABLO,CONTRA COSTA,CA,94806,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-07-0800-2018-45f,CA0070800,1/12/2018,22:47,PITTSBURG,CONTRA COSTA,CA,94565,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-07-0800-2018-b75,CA0070800,10/22/2018,19:51,PITTSBURG,CONTRA COSTA,CA,94565,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,4,1
URSUS-07-1000-2018-47b,CA0071000,11/13/2018,9:23,RICHMOND,CONTRA COSTA,CA,94804,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,1,1
URSUS-07-1000-2018-4fd,CA0071000,1/28/2018,1:15,RICHMOND,CONTRA COSTA,CA,94804,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
