id,date,number_of_shots,city_id,county_id,fatality,injury,suspect_mentally_ill
420,1/16/2013,,128,,1,1,f
592,4/2/2012,3,62,,1,0,t
102,4/17/2009,3,220,,0,1,f
862,2/12/2012,5,182,,1,0,f
179,4/11/2014,1,124,,1,0,t
654,2/13/2012,,83,,1,0,t
823,1/28/2011,,128,,0,1,t
344,5/26/2011,,105,,1,0,f
1135,11/6/2011,,124,,0,1,f
824,2/4/2011,,265,,1,0,t
710,5/14/2009,21,172,,1,0,t
1143,8/19/2009,2,46,,1,0,f
945,11/3/2012,,160,,1,0,t
1101,6/10/2013,,29,,0,1,f
176,7/5/2013,,124,,1,0,f
597,12/31/2010,,29,,0,1,f
110,8/19/2014,9,128,,1,2,f
1122,1/11/2014,,97,,0,1,f
453,12/18/2010,2,128,,0,1,
1019,10/20/2010,,382,,0,1,
226,5/2/2013,1,193,,0,1,t
514,12/12/2012,11,296,,0,1,f
502,9/24/2009,3,113,,0,2,f
1056,10/22/2013,4,46,,0,1,f
60,3/23/2009,6,52,,1,0,t
1118,9/5/2013,,29,,0,1,f
811,5/29/2010,,182,,1,0,f
963,10/29/2013,,29,,1,0,t
773,8/14/2011,,48,,0,1,f
598,10/23/2010,15,172,,1,0,t
602,8/4/2010,9,199,,1,0,f
922,8/31/2011,,23,,1,0,f
666,6/19/2010,43,318,,1,1,f
540,1/19/2010,4,113,,1,0,f
673,7/17/2009,8,186,,0,1,f
1017,6/27/2009,4,29,,1,0,t
61,4/5/2009,41,85,,0,1,t
830,2/14/2011,,128,,1,1,f
428,9/5/2012,100,128,,1,0,f
99,1/14/2011,1,113,,0,1,f
1089,6/10/2010,1,86,,0,1,f
987,3/16/2014,,83,,1,0,f
698,11/27/2011,,99,,0,1,f
563,10/12/2010,13,45,,0,1,f
231,8/8/2012,6,294,,1,0,f
177,5/8/2013,,235,,1,0,f
1134,5/3/2010,,46,,1,0,f
1124,3/9/2014,,29,,0,1,
474,7/8/2013,,195,,1,0,t
463,10/26/2010,,128,,1,0,f
764,12/8/2009,1,29,,0,1,f
1133,7/21/2011,,23,,1,0,t
147,7/12/2014,0,233,,1,0,t
22,12/31/2013,4,65,,0,1,t
797,1/5/2013,1,128,,0,1,t
917,6/30/2011,,29,,4,0,f
232,9/6/2014,14,151,,0,1,t
569,4/21/2009,35,198,,1,0,f
724,10/1/2010,1,197,,0,1,f
709,7/18/2009,4,113,,0,1,f
621,5/9/2010,3,239,,0,1,t
912,12/7/2014,,255,,1,0,f
807,10/15/2010,28,182,,1,0,f
87,5/18/2014,2,128,,0,1,f
720,4/19/2009,,97,,0,1,f
341,1/31/2011,2,24,,1,0,f
1132,12/7/2014,5,137,,0,1,f
183,12/14/2010,,243,,0,1,t
587,3/3/2014,,270,,1,0,t
725,12/3/2013,2,200,,0,1,t
539,12/26/2009,,146,,0,1,f
1131,11/15/2014,14,106,,0,1,f
808,6/15/2009,9,182,,1,0,f
79,1/9/2012,3,31,,0,1,f
270,12/20/2009,62,115,,1,2,f
889,5/8/2014,,186,,1,0,f
893,6/19/2014,,46,,1,0,f
196,5/31/2013,1,235,,0,1,t
194,8/3/2009,2,129,,1,0,t
271,10/24/2010,6,158,,0,1,f
205,3/10/2013,3,105,,1,0,t
795,1/17/2012,6,182,,0,1,f
168,7/6/2012,,124,,1,0,t
738,5/12/2012,,29,,1,0,f
778,3/22/2013,,157,,1,0,f
780,11/13/2011,3,182,,0,1,f
284,4/24/2010,,227,,1,0,t
115,4/1/2010,1,241,,1,0,f
1100,8/26/2012,6,,60,1,0,f
961,12/8/2013,,29,,1,0,f
929,10/25/2013,,105,,1,0,f
227,4/22/2012,3,111,,1,0,t
783,5/24/2011,,182,,1,1,f
211,11/1/2013,,37,,0,1,f
751,12/29/2011,5,46,,0,1,
923,9/2/2013,17,256,,1,0,f
1049,5/19/2014,,391,,1,0,f
793,3/11/2011,4,182,,0,1,f
144,4/13/2012,,58,,0,1,f
236,6/7/2011,15,31,,1,0,f
787,8/29/2014,10,128,,1,0,f
888,4/5/2012,,119,,0,1,f
779,2/16/2014,1,128,,1,0,f
682,5/15/2013,2,200,,0,1,f
809,4/10/2014,1,128,,0,1,f
1024,11/12/2011,1,18,,1,0,f
835,11/20/2009,1,182,,0,1,f
577,11/23/2014,1,26,,1,0,f
645,1/8/2012,3,186,,1,0,f
1081,2/4/2009,,109,,0,2,f
813,6/16/2013,,128,,1,0,f
345,7/12/2011,,24,,1,0,t
590,12/4/2011,1,109,,0,1,f
156,1/26/2011,4,237,,0,1,t
1073,1/12/2011,2,53,,1,0,f
874,2/11/2009,,119,,0,1,f
305,1/9/2009,,111,,0,1,f
